nm,pres_stat,bnf_code
Generic Tegaderm Superabsorber dressing 20cm x 30cm rectangular,4,20031700088
Citric acid monohydrate 334mg/5ml / Potassium citrate monohydrate 550mg/5ml / Sodium citrate dihydrate 500mg/5ml oral solution,1,070403000AAAEAE
Isoleucine 2.5g oral powder sachets,1,090402000BBUKA0
Leucine 2.5g oral powder sachets,1,090402000BBULA0
"Colecalciferol 3,000units/5ml oral solution",1,0906040G0AAFAFA
Sodium chloride 0.9% irrigation solution 45ml unit dose,2,21160000040
Tacrolimus 800micrograms/5ml oral solution,1,0802020T0AABABA
Glycerol trioleate oil liquid,1,091101000AAFUFU
Hyoscine hydrobromide 300micrograms/5ml oral suspension,1,0406000L0AABNBN
Oxybutynin 2.5mg/5ml oral suspension,1,0704020J0AAAKAK
Glimepiride 6mg/5ml oral suspension,1,0601021A0AAAHAH
Cavity dressing 2.5cm x 20cm,4,20030800165
Polyurethane foam film dressing sterile without adhesive border 17cm x 21cm heel,4,20030600541
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 5cm x 6.5cm,4,20031600105
Soft polymer wound contact dressing 7.5cm x 7.5cm,4,20031600088
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 17.5cm x 17.5cm,4,20031600095
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 21cm x 21cm,1,20031600096
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 25cm x 30cm,4,20031600097
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 19.8cm x 14cm heel,4,20031600098
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 20cm x 16.9cm sacral,4,20031600099
Soft polymer wound contact dressing with polyurethane foam film backing sterile without adhesive border 5cm x 5cm,4,20031600100
Coal tar 30% in Yellow soft paraffin,1,1305020C0AAHCHC
Soft polymer wound contact dressing 20cm x 20cm,4,20031600091
Salicylic acid 10% in Generic Unguentum M cream,4,1305020S0AADCDC
Salicylic acid 2% in Generic Unguentum M cream,4,1305020S0AACVCV
Salicylic acid 5% in Generic Unguentum M cream,4,1305020S0AACWCW
Salicylic acid 6% in Generic Unguentum M cream,4,1305020S0AADNDN
Vancomycin 5% eye drops,1,1103010Z0AAAAAA
Tetracycline 125mg/5ml oral solution,1,0501030V0AAARAR
Urea 10% in Generic Unguentum M cream,4,1302010U0AAAZAZ
Ciclosporin 0.2% eye ointment preservative free,1,1108010AAAAALAL
Generic Systane Balance eye drops,4,21300000144
Silk gloves 3-4 years,4,20200000310
Silk gloves 5-9 years,4,20200000311
Silk gloves XX large adult,4,20200000316
Darunavir 100mg/ml oral suspension sugar free,1,0503010ACAAAFAF
Amphotericin B 0.3% eye drops preservative free,1,1103020A0AAAEAE
Indapamide 2.5mg/5ml oral suspension,1,0202010P0AAABAB
Propylene glycol 20% in Aqueous cream,1,130201000AACMCM
Nitazoxanide 100mg/5ml oral suspension,1,0501070ABAAABAB
Polihexanide 0.02% eye drops preservative free,1,1103010AJAAACAC
Ingenol mebutate 150micrograms/g gel,1,1308010Z0AAAAAA
Ingenol mebutate 500micrograms/g gel,1,1308010Z0AAABAB
Generic Drawtex dressing 5cm x 5cm,4,20031700157
Generic Drawtex dressing 7.5cm x 7.5cm,4,20031700158
Generic Drawtex dressing 10cm x 10cm,4,20031700159
Generic Drawtex dressing 15cm x 20cm,4,20031700160
Generic Drawtex dressing 7.5cm x 1m,4,20031700162
Generic Drawtex dressing 10cm x 1m,4,20031700163
Generic Drawtex dressing 20cm x 1m,4,20031700164
Generic Drawtex dressing 10cm x 1.3m,4,20031700165
Gabapentin 50mg/ml oral solution sugar free,1,0408010G0AABGBG
Generic KerraMaxCare dressing 10cm x 10cm square,4,20031700166
Generic KerraMaxCare dressing 10cm x 22cm rectangular,4,20031700167
Generic KerraMaxCare dressing 20cm x 30cm rectangular,4,20031700169
Generic KerraMaxCare dressing 20cm x 22cm rectangular,4,20031700168
Sildenafil 10mg/ml oral suspension sugar free,1,0205010Y0AAABAB
Lidocaine 70mg / Tetracaine 70mg cream,1,1502010Y0AAABAB
Absorbent cellulose dressing with fluid repellent backing 33cm x 48cm,4,20030100598
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 22.5cm x 22.5cm,4,20031600115
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 17.5cm x 17.5cm sacral,4,20031600116
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 23cm x 23cm sacral,4,20031600117
Generic BiAlimenta gluten free pasta formati misti,4,0904010Q0BJAHA0
Lactic acid 250mg pessaries,1,21340000102
Spinal alignment cushion,4,21010230148
Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,1,0601023AIAAACAC
Beclometasone 0.025% in White soft paraffin,1,1304000C0AACHCH
Tenofovir 33mg/g granules,1,0503010H0AAABAB
Coal tar 5% / Salicylic acid 3% in Emulsifying ointment,1,1305020C0AAGRGR
Valaciclovir 250mg/5ml oral suspension,1,0503021A0AAAFAF
Polyvinyl alcohol 1.4% eye drops preservative free,1,1108010Q0AAAIAI
Glycopyrronium bromide 300micrograms/5ml oral solution,1,0102000L0AAAYAY
Glycopyrronium bromide 300micrograms/5ml oral suspension,1,0102000L0AAAYAY
Liothyronine 10micrograms/5ml oral suspension,1,0602010M0AAATAT
Vancomycin 1.4% eye drops,1,1103010Z0AAADAD
ProSource jelly gluten free sugar free,4,090401000BBRXA0
Nelaton catheter paediatric 12Ch,4,21020000106
Hydrogel sheet with adhesive border 8cm x 8cm square,4,20031200098
Hydrogel sheet with adhesive border 11cm x 11cm square,4,20031200099
Hydrogel sheet without adhesive border 6cm x 6cm square,4,20031200101
Hydrogel sheet without adhesive border 18cm x 12.5cm rectangular,4,20031200103
Sodium hyaluronate 0.15% eye gel 0.4ml unit dose preservative free,9,21300000138
Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.33mm/29gauge,2,21010900451
Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge,4,21010900451
Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.33mm/29gauge,2,21010900452
Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.33mm/29gauge,2,21010900453
Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.3mm/30gauge,4,21010900453
Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge,4,21010900454
Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.3mm/30gauge,2,21010900454
Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.3mm/30gauge,2,21010900455
Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.3mm/30gauge,2,21010900456
Polyurethane foam film dressing sterile with adhesive border 17cm x 17cm sacral,4,20030600208
Silver paste dressing,4,20032800001
Generic Survimed OPD HN liquid,4,090402000BBUUA0
Lactic acid 5% in Wool alcohols ointment,1,1302010K0AAAGAG
Clindamycin 2% / Hydrocortisone 1% in Aqueous cream,1,1306010AAAAAAAA
Phenoxymethylpenicillin 0.3% eye drops,1,0501011P0AAATAT
Urea 5% scalp application,1,1302010U0AAAWAW
Generic Actico 2C multi-layer compression bandage kit 18cm-25cm ankle circumference,4,20020201140
Generic Actico 2C multi-layer compression bandage kit 25cm-32cm ankle circumference,4,20020201141
Carbomer 0.35% eye gel,1,1108030AAAAAAAA
Generic PKU Lophlex Sensation 20,4,090401000BBRYA0
Acetic acid 5% ear spray,1,1201010B0AAAGAG
Megestrol 200mg/5ml oral suspension,1,0803020L0AAAGAG
Hyoscine hydrobromide 0.5% eye drops,1,1105000J0AAADAD
Nifedipine 2% ointment,1,0107040B0AAAAAA
Generic Ultrasun Sports gel SPF 20,4,130801000BBPBA0
Ear syringe rubber 60ml,1,21011500401
Clopidogrel 75mg/5ml oral solution,1,0209000C0AAAJAJ
"Ergocalciferol 1,000units/5ml oral solution",1,0906040N0AAFGFG
Propylene glycol 40% in Generic Unguentum M cream,4,130201000AADCDC
"Colecalciferol 10,000units/5ml oral solution",1,0906040G0AACUCU
"Colecalciferol 5,000units/5ml oral solution",1,0906040G0AABNBN
Generic KerraMaxCare Border Adhesive dressing 16cm x 16cm square,4,20031700170
Generic KerraMaxCare Border Adhesive dressing 26cm x 26cm square,4,20031700171
Generic KerraMaxCare Border Adhesive dressing 16cm x 26cm rectangular,4,20031700172
"Ergocalciferol 1,500units/ml oral solution sugar free",1,0906040N0AAFMFM
Bladder infusion kit,4,21012200127
Chlorhexidine gluconate 0.02% eye drops,1,110301020AAABAB
Magnesium glycerophosphate (magnesium 242.5mg/5ml (10mmol/5ml)) oral suspension,1,0905013G0AACYCY
Diazepam 15mg/5ml oral solution,1,0401020K0AACHCH
Chlorhexidine gluconate 0.02% eye drops preservative free,1,110301020AAACAC
Generic ELECT Superabsorber dressing 10cm x 10cm square,4,20031700175
Generic ELECT Superabsorber dressing 20cm x 20cm square,4,20031700176
Generic ELECT Superabsorber dressing 10cm x 20cm rectangular,4,20031700177
Generic ELECT Superabsorber dressing 20cm x 30cm rectangular,4,20031700178
Generic Similac Alimentum powder,4,090900000BBKRA0
Ethambutol 150mg/5ml oral suspension,1,0501090H0AABHBH
Coal tar 10% in Generic Unguentum M cream,4,1305020C0AAFSFS
Coal tar 5% in Generic Unguentum M cream,4,1305020C0AAGNGN
Coal tar solution 10% / Salicylic acid 2% in Generic Unguentum M cream,4,1305020C0AAFUFU
Coal tar solution 6% / Salicylic acid 6% in Generic Unguentum M cream,4,1305020C0AAGSGS
Generic Fortini 1.0 Multi Fibre liquid,4,090402000BBUWA0
Cocaine 10% nasal drops,1,1502010F0AAAXAX
Menthol 2% / Phenol 1% in Aqueous cream,1,1303000AAAAALAL
Generic KetoCal 3:1 powder,4,090401000BBSAA0
Monobenzone 20% in Generic Unguentum M cream,4,131500000AABYBY
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 17.2cm x 17.5cm,4,20030900199
Generic Diprobase lotion,4,21220000228
Generic Emustil eye drops 0.3ml unit dose preservative free,4,21300000350
Cohesive bandage 10cm x 4.5m,2,20020201144
Cohesive bandage 10cm x 5.9m,2,20020201145
Colestyramine 10% cream,1,1303000E0AAAAAA
Sucralfate powder,1,1313080S0AAADAD
Quetiapine 200mg/5ml oral suspension,1,0402010ABAAARAR
Glycopyrronium bromide 0.5% in Aqueous cream,1,1312000G0AAAXAX
Generic NutriPlan oral powder 57g sachets,4,091200000BFRLA0
Absorbent cellulose dressing with fluid repellent backing 55cm x 47cm,4,20030100348
Ichthammol 1% paste,1,1305010J0AAAVAV
Cotton garment impregnated with antimicrobial agents babygrow 0-3 months,4,20090001110
Cotton garment impregnated with antimicrobial agents babygrow 3-6 months,4,20090001111
Cotton garment impregnated with antimicrobial agents babygrow 6-9 months,4,20090001112
Cotton garment impregnated with antimicrobial agents babygrow 9-12 months,4,20090001113
Cotton garment impregnated with antimicrobial agents babygrow 12-18 months,4,20090001114
Cotton garment impregnated with antimicrobial agents babygrow 18-24 months,4,20090001115
Cotton garment impregnated with antimicrobial agents body suit 0-3 months,4,20090001116
Cotton garment impregnated with antimicrobial agents body suit 3-6 months,4,20090001117
Cotton garment impregnated with antimicrobial agents body suit 6-9 months,4,20090001118
Cotton garment impregnated with antimicrobial agents body suit 9-12 months,4,20090001119
Cotton garment impregnated with antimicrobial agents body suit 12-18 months,4,20090001120
Cotton garment impregnated with antimicrobial agents body suit 18-24 months,4,20090001121
Cotton garment impregnated with antimicrobial agents leggings 2-3 years,4,20090001134
Cotton garment impregnated with antimicrobial agents leggings 4-5 years,4,20090001135
Cotton garment impregnated with antimicrobial agents leggings 6-7 years,4,20090001136
Cotton garment impregnated with antimicrobial agents leggings 8-10 years,4,20090001137
Cotton garment impregnated with antimicrobial agents leggings 11-13 years,4,20090001138
Cotton garment impregnated with antimicrobial agents leggings adult small,4,20090001139
Cotton garment impregnated with antimicrobial agents leggings adult medium,4,20090001139
Cotton garment impregnated with antimicrobial agents leggings adult large,4,20090001139
Cotton garment impregnated with antimicrobial agents leggings adult extra large,4,20090001139
Cotton garment impregnated with antimicrobial agents leggings 0-3 months,4,20090001140
Cotton garment impregnated with antimicrobial agents leggings 3-6 months,4,20090001141
Cotton garment impregnated with antimicrobial agents leggings 6-9 months,4,20090001142
Cotton garment impregnated with antimicrobial agents leggings 9-12 months,4,20090001143
Cotton garment impregnated with antimicrobial agents leggings 12-18 months,4,20090001144
Cotton garment impregnated with antimicrobial agents leggings 18-24 months,4,20090001145
Generic Smartfish NutriFriend 600 juice,4,090402000BBVEA0
Generic Smartfish NutriFriend 1100 juice,4,090402000BBVFA0
Generic Smartfish Recharge juice,4,090402000BBVGA0
Phytomenadione 200micrograms/ml oral drops sugar free,1,0906060Q0AAAZAZ
Perineal massage appliances,2,21011100300
Generic Systane Gel eye drops,4,21300000143
Vapour-permeable adhesive film dressing 9cm x 11cm,2,20030100202
Generic Medihoney HCS dressing 6cm x 6cm square,4,20031700101
Generic Medihoney HCS dressing 11cm x 11cm square,4,20031700102
Generic Medihoney HCS dressing with adhesive border 11cm x 11cm square,4,20031700103
Generic Medihoney HCS dressing with adhesive border 15cm x 15cm square,4,20031700104
Elasticated tubular bandage BP 4.5cm size A,1,20090000550
Elasticated tubular bandage BP 17.5cm size J,1,20090000552
Lactic acid vaginal tablets,2,21340000103
Sodium phenylbutyrate 483mg/g granules,1,0908010P0AAAPAP
Generic Pro-Cal singles gluten free starter pack,4,090402000BBVKA0
Generic Eucerin Anti-Redness Calming Night cream,4,130201000BBLFA0
Generic Eucerin Anti-Redness Neutralising Day fluid,4,130201000BBLGA0
Clobetasol 0.05% ointment 10% in Generic Unguentum M cream,4,1304000G0AACMCM
Propylene glycol 40% in Clobetasol 0.05% cream,1,130400000AABIBI
Sodium polyacrylate cellulose dressing with adhesive border 15cm x 25cm rectangular,4,20031700084
Generic LittleVit Multivitamin drops,4,090607000BBLGA0
Generic Renastart powder,4,090402000BBVLA0
Chlorhexidine hydrochloride 0.5% cream,1,1310050W0AAAAAA
Generic Milupa Aptamil First milk powder,4,090900000BBLBA0
Generic Milupa Aptamil First milk liquid,4,090900000BBLAA0
Betamethasone valerate 0.1% cream 25% / Coal tar solution 5% in Generic Unguentum M cream,4,1304000F0AAFKFK
Polyurethane foam film dressing sterile without adhesive border 10cm x 10cm square (fenestrated),4,20030600336
Generic KerraFibre dressing 7cm x 5cm rectangular,4,20031700179
Generic KerraFibre dressing 11cm x 9cm rectangular,4,20031700180
Generic KerraFibre dressing 17cm x 11cm rectangular,4,20031700181
Generic Proheal dressing 5.1cm x 5.1cm square,4,20031700182
Generic Proheal dressing 10.2cm x 10.2cm square,4,20031700183
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 25cm x 25.2cm,4,20030900194
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 18.5cm x 24cm,4,20030900149
Morphine 0.1% in Intrasite gel,1,0407020Q0AAFXFX
Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.25mm/31gauge,4,21010900457
Doxazosin 4mg/5ml oral solution,1,0205040D0AAAXAX
"Ergocalciferol 10,000units/5ml oral solution",1,0906040N0AAFIFI
"Ergocalciferol 6,000units/5ml oral solution",1,0906040N0AAFJFJ
Perindopril erbumine 4mg/5ml oral solution,1,0205051M0AAAKAK
Glycopyrronium bromide 2.5mg/5ml oral solution,1,0102000L0AABBBB
Glycopyrronium bromide 2.5mg/5ml oral suspension,1,0102000L0AABCBC
Coal tar solution 6% / Salicylic acid 2% in Generic Unguentum M cream,4,1305020C0AAFPFP
Clonazepam 2.5mg/ml drops,1,0408010F0AADCDC
Coal tar solution 3% in Betamethasone valerate 0.025% ointment,1,1304000F0AAEEEE
Clotrimazole 1% eye drops preservative free,1,1103020C0AAABAB
Sodium fluoride 0.11% mouthwash sugar free,1,0905030G0AABZBZ
Generic Promin low protein soup with croutons oral powder 28g sachets,4,090401010AAAAAA
Generic Promin low protein soup with croutons oral powder 23g sachets,4,090401010AAAAAA
Generic Promin low protein cheese sauce mix,4,090401010AAAAAA
Glycopyrronium bromide 0.05% topical solution,1,1312000G0AABCBC
Glycopyrronium bromide 0.1% topical solution,1,1312000G0AAAFAF
Carbomer 0.36% eye gel preservative free,1,1108030AAAAABAB
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 8cm x 8cm,4,20031600118
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 21cm x 21cm,4,20031600122
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 25cm x 30cm,4,20031600123
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 19.8cm x 14cm heel,4,20031600124
Soft polymer wound contact dressing with polyurethane foam film backing impregnated with antimicrobial agents 20cm x 16.9cm sacral,4,20031600125
Generic Curea P1 Border dressing 16cm x 16cm square,4,20031700133
Generic Curea P1 Border dressing 15cm x 25cm rectangular,4,20031700134
Generic Carbzero liquid sugar free,4,090401000BBSCA0
Generic Betaquik liquid sugar free,4,090401000BBSDA0
Sodium chloride 5% eye drops 0.45ml unit dose preservative free,1,21300000150
Generic Lepicol Plus+ powder,4,091104000BBNSA0
Generic Basecal100 oral powder 21.5g sachets,4,090401000BBSEA0
Generic Basecal200 oral powder 43g sachets,4,090401000BBSFA0
Generic GA amino5 oral powder 6g sachets,4,090401000BBSGA0
Generic MMA/PA amino5 oral powder 6g sachets,4,090401000BBSHA0
Generic MSUD amino5 oral powder 6g sachets,4,090401000BBSIA0
Generic UCD amino5 oral powder 6.6g sachets,4,090401000BBSJA0
Tacrolimus 900micrograms/5ml oral suspension,1,0802020T0AABBBB
Generic Curea P1 dressing 15cm x 15cm square,4,20031700132
Generic Curea P2 dressing 15cm x 15cm square,4,20031700123
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 13cm x 16cm oval,4,20030900205
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 15cm x 19cm oval,4,20030900206
Atomoxetine 25mg/5ml oral solution,1,0404000S0AAAIAI
Generic EnteroGuard oral powder,4,091101000BBUFA0
Generic E45 Touchably Smooth lotion,4,130201000BBLHA0
Generic E45 Nourish & Restore lotion,4,130201000BBLIA0
Desmopressin 5micrograms/5ml oral solution,1,0605020E0AABSBS
Theophylline 125mg/5ml oral suspension,1,0301030S0AABBBB
Tobramycin 20mg/5ml oral solution,1,0501040U0AAAMAM
Activated charcoal non-absorbent dressing 10.5cm x 19cm,4,20031000050
Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge,1,21010900619
Generic Provamel Soya Unsweetened + Calcium + Vitamins liquid,4,090900000BBJTA0
Sodium hyaluronate 800mg / Sodium chondroitin sulfate 1g intravesical solution 50ml pre-filled syringes,9,21012500112
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 16cm x 17.5cm,4,20030900212
Silicone gel sheet 5cm x 20cm rectangular,4,20031300073
Silicone gel sheet 15cm x 20cm rectangular,4,20031300075
Generic Aptamil Comfort milk,4,090900000BBKSA0
Generic Symprove drink sugar free,4,090900000BBKTA0
Tapentadol 20mg/ml oral solution sugar free,1,0407020AGAAAHAH
Morphine 0.2% in Intrasite gel,1,0407020Q0AAFYFY
Chloral hydrate 500mg/5ml oral solution sugar free,1,0401010B0AABTBT
Compression hosiery class I thigh length stocking circular knit made to measure with fitted suspender,1,21070410131
Generic Durafiber Ag dressing 5cm x 5cm square,4,20031700184
Generic Durafiber Ag dressing 10cm x 10cm square,4,20031700185
Generic Durafiber Ag dressing 15cm x 15cm square,4,20031700186
Generic Durafiber Ag dressing 2cm x 45cm rectangular,4,20031700187
Generic SMA Alfamino powder,4,090900000BBKWA0
Generic Durafiber Ag dressing 4cm x 10cm rectangular,4,20031700188
Generic Durafiber Ag dressing 4cm x 20cm rectangular,4,20031700189
Generic Durafiber Ag dressing 4cm x 30cm rectangular,4,20031700190
Generic Durafiber Ag dressing 20cm x 30cm rectangular,4,20031700191
Vapour-permeable adhesive film dressing with absorbent pad 8.5cm x 15cm,4,20030100378
Polyurethane foam film dressing sterile without adhesive border finger/toe size 4,4,20030600428
Polyurethane foam film dressing sterile without adhesive border finger/toe size 5,4,20030600429
Generic SorbXtra dressing 10cm x 10cm square,4,20031700192
Generic SorbXtra dressing 20cm x 20cm square,4,20031700193
Generic SorbXtra dressing 10cm x 20cm rectangular,4,20031700194
Generic SorbXtra dressing 20cm x 30cm rectangular,4,20031700195
Generic Xailin Night eye ointment preservative free,4,21300000711
Generic Rosidal Soft bandage 10cm x 2.5m,4,20020201151
Generic Rosidal Soft bandage 12cm x 2.5m,4,20020201152
Generic Rosidal Soft bandage 15cm x 2.5m,4,20020201153
Generic Aptamil Anti-Reflux powder,4,090900000BBKUA0
Generic Anti-Reflux powder,4,090900000BBKVA0
Omeprazole 10mg/5ml oral solution,1,0103050P0AAAJAJ
Omeprazole 20mg/5ml oral solution,1,0103050P0AAAQAQ
Propylene glycol 50% in Clobetasol 0.05% cream,1,130400000AABHBH
Generic ProSource TF liquid 45ml sachets gluten free,4,091101000BBUGA0
Chitosan absorbent gelling fibre dressing 15cm x 15cm square,4,20031700198
Chitosan absorbent gelling fibre dressing 5cm x 5cm square,4,20031700196
Chitosan absorbent gelling fibre dressing 10cm x 10cm square,4,20031700197
Chitosan absorbent gelling fibre dressing 4cm x 10cm rectangular,4,20031700199
Chitosan absorbent gelling fibre dressing 4cm x 20cm rectangular,4,20031700200
Chitosan absorbent gelling fibre dressing 4cm x 30cm rectangular,4,20031700201
Chitosan absorbent gelling fibre dressing 2.5cm x 45cm rectangular,4,20031700202
Chloral hydrate 200mg/5ml oral suspension,1,0401010B0AABGBG
Clindamycin 1% / Tretinoin 0.025% gel,1,1306010ABAAAAAA
Doxazosin 1mg/5ml oral solution,1,0205040D0AAAZAZ
Hydroxycarbamide 500mg/5ml oral suspension,1,0801050P0AAADAD
Phosphate 0.98mmol/ml / Sodium 0.78mmol/ml oral suspension,1,090502100AAARAR
Sodium phenylbutyrate 625mg/5ml oral solution,1,0908010P0AAASAS
Zopiclone 7.5mg/5ml oral solution,1,0401010Z0AAAMAM
Generic Oralieve moisturising mouth gel,4,21210000013
Coal tar solution 10% in Clobetasone 0.05% ointment,1,1304000H0AACTCT
Limb protectors adult elbow slim to medium build,4,21011300136
Limb protectors adult elbow medium to large build,4,21011300137
Elasticated nylon / elastane stockinette skull cap 0-5 years,4,20090001181
Elasticated nylon / elastane stockinette skull cap 5-11 years,4,20090001182
Elasticated nylon / elastane stockinette skull cap 11-14 years,4,20090001183
Elasticated nylon / elastane stockinette clava 0-5 years,4,20090001184
Elasticated nylon / elastane stockinette clava 5-11 years,4,20090001185
Elasticated nylon / elastane stockinette clava 11-14 years,4,20090001186
Generic Canespro fungal nail treatment set,4,21470100010
Elasticated nylon / elastane stockinette arm tube 0-5 years,4,20090001203
Elasticated nylon / elastane stockinette arm tube 5-11 years,4,20090001204
Elasticated nylon / elastane stockinette arm tube 11-14 years,4,20090001205
Elasticated nylon / elastane stockinette waist tube 5-11 years,4,20090001213
Elasticated nylon / elastane stockinette waist tube 0-5 years,4,20090001212
Elasticated nylon / elastane stockinette waist tube 11-14 years,4,20090001214
Elasticated nylon / elastane stockinette leggings 0-24 months,4,20090001215
Elasticated nylon / elastane stockinette leggings 2-7 years,4,20090001216
Elasticated nylon / elastane stockinette leggings 7-11 years,4,20090001217
Elasticated nylon / elastane stockinette leggings 11-14 years,4,20090001218
Elasticated nylon / elastane stockinette shorts 0-24 months,4,20090001219
Elasticated nylon / elastane stockinette shorts 2-7 years,4,20090001220
Elasticated nylon / elastane stockinette shorts 7-11 years,4,20090001221
Elasticated nylon / elastane stockinette shorts 11-14 years,4,20090001222
Elasticated nylon / elastane stockinette socks 0-5 years,4,20090001223
Elasticated nylon / elastane stockinette socks 5-11 years,4,20090001224
Elasticated nylon / elastane stockinette socks 11-14 years,4,20090001225
Coal tar solution 8% / Salicylic acid 2% in Betamethasone valerate 0.1% ointment,1,1305020I0AAAFAF
Dutasteride 500micrograms/5ml oral solution,1,0604020B0AAABAB
Tamsulosin 400micrograms/5ml oral solution,1,0704010U0AAACAC
Generic Fortini Creamy Fruit Multi Fibre,4,090402000BBVUA0
Adhesive dressing remover sterile foam applicator,4,21360000102
Theophylline 5mg/5ml oral solution,1,0301030S0AABHBH
Alprostadil 3mg/g cream,1,0704050B0AABPBP
Soft silicone wound contact dressing sterile 18cm x 30cm,4,20030900216
Generic Ensure Plus Advance liquid,4,090402000BBVVA0
"Colecalciferol 20,000units/ml oral solution",1,0906040G0AADGDG
Generic Healthy Start Children's Vitamin drops,4,090607000BBLJA0
Zonisamide 25mg/5ml oral suspension,1,0408010ADAAAFAF
Zonisamide 100mg/5ml oral suspension,1,0408010ADAAAGAG
Theophylline 50mg/5ml oral solution,1,0301030S0AABKBK
Coal tar solution 12% / Salicylic acid 3% in Clobetasone 0.05% ointment,1,1304000H0AACRCR
Sodium chloride 5% eye ointment preservative free,1,21300000157
Generic Hero H-2 layer 1 bandage 10cm x 3m,4,20020201157
Generic Hero H-2 layer 2 bandage 10cm x 5m,4,20020201158
Generic Hero H-2 Lite layer 2 bandage 10cm x 5m,4,20020201159
Generic Hero H-2 XL layer 1 bandage 10cm x 5m,4,20020201160
Generic Hero H-2 XL layer 2 bandage 10cm x 6m,4,20020201161
Generic Hero H-2 multi-layer compression bandage kit 18cm-25cm ankle circumference,4,20020201154
Generic Hero H-2 Lite multi-layer compression bandage kit 18cm-25cm ankle circumference,4,20020201155
Generic Hero H-2 XL multi-layer compression bandage kit 25cm-32cm ankle circumference,4,20020201156
Generic Climen tablets,4,0604011N0AAAAAA
Dithranol 0.4% ointment,1,1305020F0AACWCW
Clobetasol 0.05% ointment 25% / Coal tar solution 5% in White soft paraffin,1,1304000H0AACLCL
Generic Cutan Hand Sanitiser foam,4,131101000BMAPA0
Voriconazole 1% eye drops,1,0502010D0AAAGAG
Salicylic acid 5% in Betamethasone valerate 0.1% ointment,1,1304000F0AAEDED
Coal tar solution 12% / Salicylic acid 4% in Yellow soft paraffin,1,1305020C0AAFMFM
Cade oil 12% / Salicylic acid 4% in Emulsifying ointment,1,190605000AACDCD
Soft polymer wound contact dressing with polyurethane foam film backing sterile and adhesive border 24cm x 21.5cm sacral,4,20031600133
Soft silicone wound contact dressing sterile 15cm x 25cm,4,20030900228
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 23cm x 25cm,4,20030900223
Coal tar solution 6% / Salicylic acid 2% in ointment,1,1305020C0AAFPFP
Coal tar solution 6% / Salicylic acid 2% in White soft paraffin,1,1305020C0AAFPFP
Coal tar solution 6% / Salicylic acid 2% in Yellow soft paraffin,1,1305020C0AAFPFP
Coal tar solution 6% / Salicylic acid 2% in Generic Epaderm ointment,4,1305020C0AAFPFP
Glycopyrronium bromide 0.5% in Generic Unguentum M cream,4,1312000G0AABIBI
Generic C-Sorb dressing 10cm x 10cm square,4,20031700211
Generic C-Sorb dressing 20cm x 20cm square,4,20031700212
Generic C-Sorb dressing 10cm x 20cm rectangular,4,20031700213
Generic C-Sorb dressing 20cm x 30cm rectangular,4,20031700214
Hydromorphone 5mg/5ml oral solution,1,040702050AAAKAK
"Sucrase 58,000units/5ml oral solution",1,0908010ALAAAAAA
Generic Aymes Complete liquid,4,090402000BBVWA0
